Tiempo(ms)=372, sensor1=459, sensor2=441, sensor3=416
Tiempo(ms)=509, sensor1=422, sensor2=422, sensor3=416
Tiempo(ms)=642, sensor1=415, sensor2=415, sensor3=412
Tiempo(ms)=773, sensor1=411, sensor2=409, sensor3=407
Tiempo(ms)=905, sensor1=406, sensor2=404, sensor3=402
Tiempo(ms)=1037, sensor1=401, sensor2=399, sensor3=397
Tiempo(ms)=1169, sensor1=395, sensor2=394, sensor3=391
Tiempo(ms)=1300, sensor1=389, sensor2=387, sensor3=385
Tiempo(ms)=1432, sensor1=383, sensor2=381, sensor3=379
Tiempo(ms)=1564, sensor1=377, sensor2=375, sensor3=373
Tiempo(ms)=1700, sensor1=374, sensor2=373, sensor3=370
Tiempo(ms)=1831, sensor1=368, sensor2=366, sensor3=364
Tiempo(ms)=1963, sensor1=362, sensor2=360, sensor3=358
Tiempo(ms)=2094, sensor1=358, sensor2=356, sensor3=354
Tiempo(ms)=2225, sensor1=355, sensor2=354, sensor3=351
Tiempo(ms)=2356, sensor1=352, sensor2=351, sensor3=348
Tiempo(ms)=2487, sensor1=350, sensor2=349, sensor3=346
Tiempo(ms)=2618, sensor1=346, sensor2=345, sensor3=343
Tiempo(ms)=2749, sensor1=341, sensor2=339, sensor3=337
Tiempo(ms)=2885, sensor1=340, sensor2=339, sensor3=336
Tiempo(ms)=3016, sensor1=335, sensor2=333, sensor3=332
Tiempo(ms)=3147, sensor1=331, sensor2=329, sensor3=327
Tiempo(ms)=3278, sensor1=328, sensor2=326, sensor3=324
Tiempo(ms)=3409, sensor1=327, sensor2=326, sensor3=323
Tiempo(ms)=3540, sensor1=327, sensor2=326, sensor3=323
Tiempo(ms)=3672, sensor1=325, sensor2=324, sensor3=322
Tiempo(ms)=3803, sensor1=322, sensor2=321, sensor3=319
Tiempo(ms)=3934, sensor1=319, sensor2=317, sensor3=315
Tiempo(ms)=4069, sensor1=318, sensor2=317, sensor3=315
Tiempo(ms)=4200, sensor1=315, sensor2=313, sensor3=311
Tiempo(ms)=4331, sensor1=312, sensor2=311, sensor3=308
Tiempo(ms)=4462, sensor1=311, sensor2=310, sensor3=307
Tiempo(ms)=4593, sensor1=312, sensor2=311, sensor3=308
Tiempo(ms)=4724, sensor1=312, sensor2=311, sensor3=308
Tiempo(ms)=4855, sensor1=311, sensor2=310, sensor3=307
Tiempo(ms)=4986, sensor1=308, sensor2=306, sensor3=304
Tiempo(ms)=5117, sensor1=305, sensor2=303, sensor3=301
Tiempo(ms)=5254, sensor1=306, sensor2=305, sensor3=302
Tiempo(ms)=5385, sensor1=303, sensor2=301, sensor3=299
Tiempo(ms)=5516, sensor1=301, sensor2=300, sensor3=297
Tiempo(ms)=5647, sensor1=301, sensor2=300, sensor3=297
Tiempo(ms)=5778, sensor1=302, sensor2=302, sensor3=298
Tiempo(ms)=5909, sensor1=302, sensor2=302, sensor3=299
Tiempo(ms)=6040, sensor1=301, sensor2=300, sensor3=298
Tiempo(ms)=6171, sensor1=298, sensor2=297, sensor3=295
Tiempo(ms)=6301, sensor1=296, sensor2=295, sensor3=293
Tiempo(ms)=6437, sensor1=297, sensor2=296, sensor3=293
Tiempo(ms)=6568, sensor1=295, sensor2=294, sensor3=291
Tiempo(ms)=6699, sensor1=296, sensor2=295, sensor3=292
Tiempo(ms)=6830, sensor1=297, sensor2=297, sensor3=293
Tiempo(ms)=6961, sensor1=298, sensor2=297, sensor3=294
Tiempo(ms)=7092, sensor1=297, sensor2=296, sensor3=293
Tiempo(ms)=7223, sensor1=295, sensor2=293, sensor3=291
Tiempo(ms)=7354, sensor1=293, sensor2=291, sensor3=289
Tiempo(ms)=7485, sensor1=292, sensor2=291, sensor3=288
Tiempo(ms)=7622, sensor1=292, sensor2=291, sensor3=289
Tiempo(ms)=7752, sensor1=291, sensor2=290, sensor3=288
Tiempo(ms)=7903, sensor1=292, sensor2=291, sensor3=288
Tiempo(ms)=8034, sensor1=293, sensor2=292, sensor3=289
Tiempo(ms)=8165, sensor1=294, sensor2=294, sensor3=291
Tiempo(ms)=8296, sensor1=295, sensor2=295, sensor3=292
Tiempo(ms)=25, sensor1=439, sensor2=413, sensor3=388
Tiempo(ms)=161, sensor1=399, sensor2=398, sensor3=391
Tiempo(ms)=292, sensor1=393, sensor2=392, sensor3=388
Tiempo(ms)=428, sensor1=387, sensor2=385, sensor3=383
Tiempo(ms)=559, sensor1=382, sensor2=380, sensor3=378
Tiempo(ms)=690, sensor1=376, sensor2=374, sensor3=372
Tiempo(ms)=821, sensor1=369, sensor2=367, sensor3=365
Tiempo(ms)=952, sensor1=363, sensor2=361, sensor3=359
Tiempo(ms)=1083, sensor1=360, sensor2=357, sensor3=355
Tiempo(ms)=1214, sensor1=357, sensor2=355, sensor3=353
Tiempo(ms)=1345, sensor1=354, sensor2=353, sensor3=351
Tiempo(ms)=1475, sensor1=351, sensor2=349, sensor3=347
Tiempo(ms)=1606, sensor1=346, sensor2=344, sensor3=342
Tiempo(ms)=1743, sensor1=345, sensor2=344, sensor3=341
Tiempo(ms)=1874, sensor1=340, sensor2=338, sensor3=336
Tiempo(ms)=2006, sensor1=335, sensor2=333, sensor3=331
Tiempo(ms)=2136, sensor1=332, sensor2=330, sensor3=328
Tiempo(ms)=2267, sensor1=331, sensor2=330, sensor3=327
Tiempo(ms)=2398, sensor1=330, sensor2=329, sensor3=327
Tiempo(ms)=2529, sensor1=328, sensor2=327, sensor3=325
Tiempo(ms)=2660, sensor1=324, sensor2=323, sensor3=320
Tiempo(ms)=2790, sensor1=319, sensor2=317, sensor3=316
Tiempo(ms)=2926, sensor1=318, sensor2=317, sensor3=315
Tiempo(ms)=3056, sensor1=314, sensor2=313, sensor3=311
Tiempo(ms)=3187, sensor1=313, sensor2=312, sensor3=309
Tiempo(ms)=3318, sensor1=312, sensor2=311, sensor3=308
Tiempo(ms)=3450, sensor1=309, sensor2=308, sensor3=305
Tiempo(ms)=3589, sensor1=305, sensor2=303, sensor3=301
Tiempo(ms)=3720, sensor1=304, sensor2=303, sensor3=300
Tiempo(ms)=3851, sensor1=304, sensor2=304, sensor3=301
Tiempo(ms)=3982, sensor1=302, sensor2=301, sensor3=298
Tiempo(ms)=4119, sensor1=302, sensor2=301, sensor3=298
Tiempo(ms)=4249, sensor1=306, sensor2=307, sensor3=303
Tiempo(ms)=4380, sensor1=305, sensor2=304, sensor3=302
Tiempo(ms)=4511, sensor1=303, sensor2=301, sensor3=299
Tiempo(ms)=4642, sensor1=301, sensor2=300, sensor3=297
Tiempo(ms)=4773, sensor1=301, sensor2=300, sensor3=297
Tiempo(ms)=4904, sensor1=302, sensor2=302, sensor3=298
Tiempo(ms)=5036, sensor1=303, sensor2=303, sensor3=300
Tiempo(ms)=5167, sensor1=302, sensor2=301, sensor3=299
Tiempo(ms)=5302, sensor1=302, sensor2=301, sensor3=298
Tiempo(ms)=5433, sensor1=299, sensor2=298, sensor3=296
Tiempo(ms)=5564, sensor1=297, sensor2=295, sensor3=293
Tiempo(ms)=5695, sensor1=295, sensor2=293, sensor3=291
Tiempo(ms)=5826, sensor1=294, sensor2=293, sensor3=290
Tiempo(ms)=5957, sensor1=295, sensor2=294, sensor3=291
Tiempo(ms)=6088, sensor1=296, sensor2=296, sensor3=293
Tiempo(ms)=6219, sensor1=297, sensor2=296, sensor3=293
Tiempo(ms)=6350, sensor1=295, sensor2=294, sensor3=292
